session_pk,session_id,user_id,username,session_game_type,session_status,start_time,end_time,total_score,time_limit,gamequestion_id,generated_question_id,question_text,correct_answer,estimated_difficulty,question_game_type,response_id,response_user_id,response_username,user_answer,is_correct,time_taken,answered_at
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1105,25,Identify the concept for combining numbers with symbols like plus and minus.,expressions,master,non_coding,890,8,JohnDoe,,False,0,2025-10-26T05:13:49.011810+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1106,33,Select the term for the operator that raises a number to a power,exponent,beginner,non_coding,891,8,JohnDoe,,False,0,2025-10-26T05:13:49.029951+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1109,89,Spot the term for information generated by a running program,output,master,non_coding,892,8,JohnDoe,,False,0,2025-10-26T05:13:49.032663+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1101,126,Identify the error when using an undefined variable name,NameError,beginner,non_coding,893,8,JohnDoe,,False,0,2025-10-26T05:13:49.035419+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1102,127,Name the error from an operation on a value of the wrong type,TypeError,beginner,non_coding,894,8,JohnDoe,,False,0,2025-10-26T05:13:49.038590+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1104,134,Spot the feature that allows getting the last item with index minus one,Slicing,intermediate,non_coding,895,8,JohnDoe,,False,0,2025-10-26T05:13:49.041656+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1103,135,Identify the operation that combines strings end to end,Concatenation,intermediate,non_coding,896,8,JohnDoe,,False,0,2025-10-26T05:13:49.044827+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1107,201,Identify the operator that checks if two values are not equal,inequality,intermediate,non_coding,897,8,JohnDoe,,False,0,2025-10-26T05:13:49.049041+00:00
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26T05:13:10.965360+00:00,2025-10-26T05:13:49.054570+00:00,0,300,1108,204,Spot the feature that allows combining comparisons with logical operators,expression,intermediate,non_coding,898,8,JohnDoe,,False,0,2025-10-26T05:13:49.051885+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1112,29,Spot the term for the basic mathematical symbols.,operators,intermediate,non_coding,899,8,JohnDoe,,False,0,2025-10-26T05:16:19.126460+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1118,88,Select the keyword for a method that sends text to the screen,print,master,non_coding,900,8,JohnDoe,A,False,0,2025-10-26T05:16:19.142581+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1113,113,Select the error type for an incorrect path object given to open,TypeError,beginner,non_coding,901,8,JohnDoe,,False,0,2025-10-26T05:16:19.145836+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1117,114,Spot the general category for NameError and ZeroDivisionError,Exception,beginner,non_coding,902,8,JohnDoe,,False,0,2025-10-26T05:16:19.148256+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1110,148,Name the data type with only two possible values.,boolean,beginner,non_coding,903,8,JohnDoe,BOOLEAN,True,0,2025-10-26T05:16:19.151076+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1114,180,Identify the error that occurs during program execution,RuntimeError,advanced,non_coding,904,8,JohnDoe,O,False,0,2025-10-26T05:16:19.153766+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1116,209,Spot the feature that allows simplifying expressions step by step.,simplification,master,non_coding,905,8,JohnDoe,T,False,0,2025-10-26T05:16:19.156409+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1115,213,Select the operator that checks if one value is greater than or equal to another.,greater,beginner,non_coding,906,8,JohnDoe,,False,0,2025-10-26T05:16:19.159356+00:00
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26T05:14:34.752119+00:00,2025-10-26T05:16:19.164066+00:00,1,300,1111,253,Select the term for the process of giving a value to a variable.,assignment,beginner,non_coding,907,8,JohnDoe,INITIALIZE,False,0,2025-10-26T05:16:19.161768+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1127,18,Select the term for the operator that performs floor division.,floor,advanced,non_coding,908,8,JohnDoe,,False,0,2025-10-26T05:17:50.364854+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1119,94,Spot the feature used when program data is unknown during writing.,input,beginner,non_coding,909,8,JohnDoe,,False,0,2025-10-26T05:17:50.380564+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1128,113,Select the error type for an incorrect path object given to open,TypeError,beginner,non_coding,910,8,JohnDoe,,False,0,2025-10-26T05:17:50.383193+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1121,135,Identify the operation that combines strings end to end,Concatenation,intermediate,non_coding,911,8,JohnDoe,,False,0,2025-10-26T05:17:50.385714+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1124,142,Name the logic system based on true or false conditionals.,boolean,master,non_coding,912,8,JohnDoe,BOOLEAN,True,0,2025-10-26T05:17:50.388465+00:00
226,f0f67281-c7be-499e-b9b5-7978e0ac8269,8,JohnDoe,crossword,completed,2025-10-26T05:16:51.507731+00:00,2025-10-26T05:17:50.400129+00:00,1,300,1125,143,Select the term for expressions that evaluate to True or False.,conditional,master,non_coding,913,8,JohnDoe,O,False,0,2025-10-26T05:17:50.390661+00:00
